name,Национален археологически музей,Национална галерия (Квадрат 500),Национален етнографски музей,Национален природонаучен музей,Софийска градска художествена галерия,Галерия Средец,Галерия Академия,Галерия Райко Алексиев,Галерия Nuance,Галерия Аросита,Галерия Сердика,Галерия Лик,Галерия КО-ОП,Галерия Contrast,Галерия Intro,nOva Art Space,Галерия Astry,Галерия Doza,Little Bird Place,Галерия Нирвана,Галерия Минерва,Галерия Etud,Галерия Credo Bonum,VIVACOM Art Hall,Галерия Алма Матер,Галерия Арте,Галерия Ракурси,Галерия Васка Емануилова,One Gallery,Галерия Графично
Национален археологически музей,0.0,789.2477689462754,203.99021168203836,322.26525485380006,202.37195530601483,379.41620670001066,785.6714702211164,421.5950491166982,372.3016579457675,595.318665919981,812.110083889047,1217.9446698384327,2101.7567718256473,678.9445507385409,711.1057881354564,50.78130775610033,683.1649835462358,552.428586198036,639.8853226959113,550.9949440417482,251.1417456074937,1727.3732735891745,350.257440332793,953.5484706441531,956.2266520943124,1223.4333159375863,570.2291118209665,1416.0751790201507,218.9149728859493,668.1258182356287
Национална галерия (Квадрат 500),789.2477689462754,0.0,585.8851165579329,479.98594053348046,832.9710699144423,1167.0426482860248,152.57287727068416,519.7022896628604,1050.105713287424,253.9582662319309,1380.0974253247985,1946.633115129792,2853.8597671515254,1445.0692764332418,1460.0296897059582,814.1919714047689,1441.752743905691,1331.6127052634752,263.45629967670095,1101.415274332582,829.7853628564175,1612.2608523644974,618.7951818680003,175.19164602809954,277.33803105914114,1891.7897849161525,1016.2049801603488,653.941524205661,607.2016195593878,1430.865273783386
Национален етнографски музей,203.99021168203836,585.8851165579329,0.0,124.59073425906364,291.1104952162291,583.27247939502,583.8761707313379,274.81980312981915,509.76050509778406,405.61142887148264,938.6969895690114,1393.8447199394002,2297.80660401744,868.9324549835777,892.8403023310865,229.3523774982464,869.4059336940923,753.9685807077148,456.1431785668837,636.2262329240406,313.72846646339593,1649.6797402341813,251.9585458173263,749.5590887283491,756.7923164127154,1375.7181581905659,610.6955592867292,1219.128252351145,93.24841859698209,856.3502724832847
Национален природонаучен музей,322.26525485380006,479.98594053348046,124.59073425906364,0.0,358.2632189755507,700.6661569557739,463.59761087379064,185.28317698573753,579.3814880163336,338.3605390384653,1054.2199073043528,1474.7444964876897,2421.281141919824,965.1911673916114,981.9454063677636,339.13421261236203,962.4201939090656,874.6107844486158,396.0479830176267,669.5650670969961,364.07110638436393,1568.4559102253259,211.57795314312628,636.752506890684,634.2609725995451,1438.4241239998125,618.6293544989664,1125.7876365998625,128.1422885891871,951.166427015034
Софийска градска художествена галерия,202.37195530601483,832.9710699144423,291.1104952162291,358.2632189755507,0.0,433.31111858948793,791.5029604153845,359.04432558356376,221.8260225800296,688.6897025955203,985.705914370153,1116.5368276661868,2163.9053054043693,618.2957829811681,627.6148250105122,156.64096643085983,611.6833673875008,616.9816256237286,742.5607155470767,357.80955209528463,52.60700841049878,1549.9014259408016,256.5806020216951,979.4991947723981,945.0103010952243,1086.1396293798016,367.85716032858136,1483.0241935767124,230.95500068009162,602.5834907450692
Галерия Средец,379.41620670001066,1167.0426482860248,583.27247939502,700.6661569557739,433.31111858948793,0.0,1164.238310650859,772.5461920989048,381.31651464843156,960.3969313991423,667.6447923466179,934.6144867816078,1736.459666381916,381.2332660534303,444.57025923370645,363.98829176881503,401.7713205893727,183.94107126760855,998.4748609228972,595.7887596232529,476.65808136260534,1935.3902387853889,680.0089168691633,1332.7206257121572,1332.8643887945286,1005.9790624804648,690.7053026959012,1783.0372052596813,587.5901423705342,380.0333529410129
Галерия Академия,785.6714702211164,152.57287727068416,583.8761707313379,463.59761087379064,791.5029604153845,1164.238310650859,0.0,446.85027071938686,998.6706482859623,350.5377884607302,1449.030972268216,1888.483578007006,2879.497926484754,1409.7927325594046,1416.3696337108831,801.750044940788,1402.705794929389,1337.6087630429897,380.2994829213294,1021.3899890573937,778.9562869312546,1459.7470964311633,552.816196561688,199.1692312306502,178.71128321277286,1815.652613007269,923.6324682794354,740.5383599586014,581.283807974412,1394.0355452434892
Галерия Райко Алексиев,421.5950491166982,519.7022896628604,274.81980312981915,185.28317698573753,359.04432558356376,772.5461920989048,446.85027071938686,0.0,554.4134051138192,464.0716621085813,1209.8131299444876,1441.633579731108,2508.9035036644414,972.5476986840057,973.7475193908313,416.4113945871719,962.8458243812155,955.0555660299374,524.7795365693863,581.9060376902328,337.75818235943444,1384.036658807587,106.81105420656048,643.0868003517963,589.1803556050481,1374.0621159640027,499.980582386223,1171.5003149109193,207.17396881074956,955.7534086938794
Галерия Nuance,372.3016579457675,1050.105713287424,509.76050509778406,579.3814880163336,221.8260225800296,381.31651464843156,998.6706482859623,554.4134051138192,0.0,910.3449469174559,1028.6733206657789,896.7626224458156,2038.4844848194978,425.2984752602295,419.62928003915783,322.0453993909725,411.56310298100396,543.0292495991098,963.7805581786395,219.8310099422361,220.7440819714561,1557.299238738489,447.60382516955906,1191.0443054040766,1142.9677409496971,865.9721114698281,310.5292292198915,1702.1437072139722,452.6343991608088,406.9593319794616
Галерия Аросита,595.318665919981,253.9582662319309,405.61142887148264,338.3605390384653,688.6897025955203,960.3969313991423,350.5377884607302,464.0716621085813,910.3449469174559,0.0,1126.5287790643092,1799.2894244525767,2614.6815136689497,1272.1055451545433,1298.1878258902204,630.1573157933726,1273.8815208394399,1113.6831621809965,60.70794150533656,1007.5225616353289,700.2613614004371,1747.5783697504164,534.8810665199272,427.0934017924281,516.8336881769404,1773.9643900615004,949.7801340070937,822.8101079916925,459.3329136008692,1260.2001153682174
Галерия Сердика,812.110083889047,1380.0974253247985,938.6969895690114,1054.2199073043528,985.705914370153,667.6447923466179,1449.030972268216,1209.8131299444876,1028.6733206657789,1126.5287790643092,0.0,1462.2499990044375,1572.6928400182107,977.3887631869699,1057.047913865708,840.943549621647,1009.410795241285,590.975355965943,1129.4632579737192,1248.4812430541679,1038.2400075290564,2534.931612602938,1157.0462671876094,1553.5604621698578,1626.830612155442,1601.739612715123,1322.34571781919,1846.829745268307,1004.5939586485655,986.0578345352253
Галерия Лик,1217.9446698384327,1946.633115129792,1393.8447199394002,1474.7444964876897,1116.5368276661868,934.6144867816078,1888.483578007006,1441.633579731108,896.7626224458156,1799.2894244525767,1462.2499990044375,0.0,1606.272211173455,555.5136907176357,508.1393186733436,1175.8177750880104,541.67464086547,898.4159279319382,1849.6296551587243,887.3262033555419,1116.8478090919273,1984.5401067676173,1335.9725470298686,2083.858257652299,2021.4035907731493,255.73050500898032,1012.8766455495945,2598.8953703435445,1347.009744185755,560.5419394004007
Галерия КО-ОП,2101.7567718256473,2853.8597671515254,2297.80660401744,2421.281141919824,2163.9053054043693,1736.459666381916,2879.497926484754,2508.9035036644414,2038.4844848194978,2614.6815136689497,1572.6928400182107,1606.272211173455,0.0,1651.4255467611924,1702.0398389686877,2096.0286981979802,1680.3537580958262,1553.9807399625934,2634.3484135746385,2185.9626760713154,2201.4918341006605,3505.997170059385,2415.7549903887266,3027.694668397526,3054.359913583835,1861.9973152369846,2318.140774016401,3396.6088331148435,2318.5598402281807,1672.5423480502081
Галерия Contrast,678.9445507385409,1445.0692764332418,868.9324549835777,965.1911673916114,618.2957829811681,381.2332660534303,1409.7927325594046,972.5476986840057,425.2984752602295,1272.1055451545433,977.3887631869699,555.5136907176357,1651.4255467611924,0.0,82.2083002567698,641.9503206240125,36.67278829430057,386.47441056582466,1318.4205110752443,535.7357982365307,634.806673734471,1869.8416119212172,866.4698767992569,1596.5640102595437,1561.438920272477,633.7860980222866,670.0240660064705,2087.596979471682,837.9329967924176,21.12562897231443
Галерия Intro,711.1057881354564,1460.0296897059582,892.8403023310865,981.9454063677636,627.6148250105122,444.57025923370645,1416.3696337108831,973.7475193908313,419.62928003915783,1298.1878258902204,1057.047913865708,508.1393186733436,1702.0398389686877,82.2083002567698,0.0,670.4176763421336,47.68142817976999,466.1529071079394,1346.747075329965,496.46365150590606,637.4940744788776,1810.0009393713337,866.9774454431519,1606.624115075249,1562.559651339014,562.217013740842,632.7611441356283,2107.4743811230787,853.8559698793011,70.99103517610847
nOva Art Space,50.78130775610033,814.1919714047689,229.3523774982464,339.13421261236203,156.64096643085983,363.98829176881503,801.750044940788,416.4113945871719,322.0453993909725,630.1573157933726,840.943549621647,1175.8177750880104,2096.0286981979802,641.9503206240125,670.4176763421336,0.0,644.307946352658,542.7740052135357,676.9784561178355,500.8401905312805,207.4063907506862,1694.8389747412446,335.27225622994905,975.1564662731712,969.0696260068299,1176.2485587386154,523.6495409265316,1447.8510373520116,223.68627930824218,630.1964112587694
Галерия Astry,683.1649835462358,1441.752743905691,869.4059336940923,962.4201939090656,611.6833673875008,401.7713205893727,1402.705794929389,962.8458243812155,411.56310298100396,1273.8815208394399,1009.410795241285,541.67464086547,1680.3537580958262,36.67278829430057,47.68142817976999,644.307946352658,0.0,418.49266920120124,1321.286094023235,509.4034704071987,625.2974914990117,1837.4259457201379,856.3642258067854,1591.0919694438467,1552.0243651248063,607.2041073673303,644.6456726775245,2086.7033314348787,834.6558736995695,23.40942399485014
Галерия Doza,552.428586198036,1331.6127052634752,753.9685807077148,874.6107844486158,616.9816256237286,183.94107126760855,1337.6087630429897,955.0555660299374,543.0292495991098,1113.6831621809965,590.975355965943,898.4159279319382,1553.9807399625934,386.47441056582466,466.1529071079394,542.7740052135357,418.49266920120124,0.0,1146.8472316155899,745.6679768015427,659.4723826894392,2099.8697302934456,863.6416025312334,1500.3816805357883,1508.6477368983203,1015.079810767957,852.9657532623307,1932.7361258092026,766.1517673448349,395.1651666505837
Little Bird Place,639.8853226959113,263.45629967670095,456.1431785668837,396.0479830176267,742.5607155470767,998.4748609228972,380.2994829213294,524.7795365693863,963.7805581786395,60.70794150533656,1129.4632579737192,1849.6296551587243,2634.3484135746385,1318.4205110752443,1346.747075329965,676.9784561178355,1321.286094023235,1146.8472316155899,0.0,1065.6046351178945,755.9787629660005,1798.5087828582505,594.9000653756532,428.8902474485003,537.0407480843829,1828.5633074770412,1009.5930558756186,785.9918199795314,514.6543919658922,1307.0474236122052
Галерия Нирвана,550.9949440417482,1101.415274332582,636.2262329240406,669.5650670969961,357.80955209528463,595.7887596232529,1021.3899890573937,581.9060376902328,219.8310099422361,1007.5225616353289,1248.4812430541679,887.3262033555419,2185.9626760713154,535.7357982365307,496.46365150590606,500.8401905312805,509.4034704071987,745.6679768015427,1065.6046351178945,0.0,323.7080506220018,1359.8099192201855,484.4171623351985,1220.153948208825,1141.2284624032586,794.2751675603095,136.50154689098792,1753.2277504033768,557.2249791335425,514.7337966763977
Галерия Минерва,251.1417456074937,829.7853628564175,313.72846646339593,364.07110638436393,52.60700841049878,476.65808136260534,778.9562869312546,337.75818235943444,220.7440819714561,700.2613614004371,1038.2400075290564,1116.8478090919273,2201.4918341006605,634.806673734471,637.4940744788776,207.4063907506862,625.2974914990117,659.4723826894392,755.9787629660005,323.7080506220018,0.0,1497.5741306916773,231.76536261484517,970.4958376192915,926.8316425722671,1074.399429778474,320.8064267721711,1482.4806025279022,241.36842496183212,618.002152234767
